Episode,Reward,Avg_Embedding_Distance,Guesses
1,-6.0,-1,
2,0,-1,
3,1.0,1.2905668020248413,?
4,-8.0,1.275045096874237,__________;[Answer]
5,6.0,1.2806644439697266,duckduckgo;DuckDuckGo
6,0,-1,
7,-12.0,1.2447017431259155,__________
8,0,-1,
9,-6.0,-1,
10,0,-1,
11,-4.0,1.2757029771804809,__________;Victory;?;__;Duck
12,0,-1,
13,6.0,1.246825893719991,__________;__________;Mysterious_Note
14,0,-1,
15,0,-1,
16,-9.0,1.2394258975982666,it
17,0,-1,
18,-8.0,1.2684545516967773,__
19,4.0,-1,
20,-9.0,1.2684545516967773,__
21,0,-1,
22,-2.0,1.2684545516967773,__
23,0,-1,
24,-8.0,1.267907698949178,?;__;__________
25,3.0,1.2509403228759766,?;G
26,16.0,1.384303331375122,https://www.hackingarena.com/challenges/web
27,0,-1,
28,0.0,-1,
29,0,-1,
30,0,-1,
31,4.0,1.2447017431259155,__________
32,8.0,1.2478879690170288,Mysterious_Note;__________
33,9.0,1.2605369488398235,__;__________;__
34,-6.0,1.2447017431259155,__________
35,0,-1,
36,-10.0,1.2565781474113464,__;__________
37,0,-1,
38,-8.0,1.2447017431259155,__________
39,-8.0,1.2983052730560303,__;???;ashes
40,-2.0,1.2684545516967773,__
41,0,-1,
42,-12.0,1.2978416681289673,Python
43,0,-1,
44,-2.0,1.2684545516967773,__
45,11.0,1.2598947584629059,__________;[Your;Mysterious;__________
46,0,-1,
47,-8.0,-1,
48,0,-1,
49,2.0,1.2684545516967773,__
50,9.0,1.1999132335186005,Mysterious;_______;Reducto;__
51,0.0,-1,
52,0,-1,
53,0,-1,
54,0,-1,
55,-2.0,-1,
56,10.0,-1,
57,10.0,-1,
58,9.0,1.2474679946899414,MysteriousNote;__________;__
59,0,-1,
60,0,-1,
